lemma,pos
grip,n
grip,v
groan,v
gross,a
ground,n
group,n
group,v
grouping,n
grow,v
growing,a
growth,n
guarantee,n
guarantee,v
guard,n
guard,v
guardian,n
guerrilla,n
guess,n
guess,v
guest,n
guidance,n
guide,n
guide,v
guideline,n
guild,n
guilt,n
guilty,a
guitar,n
gun,n
gut,n
guy,n
ha,interjection
habit,n
habitat,n
hair,n
half,adv
half,det
half,n
halfway,adv
hall,n
halt,n
halt,v
ham,n
hammer,n
hand,n
hand,v
handful,n
handicap,n
handicap,v
handicapped,a
handle,n
handle,v
handling,n
handsome,a
handy,a
hang,v
happen,v
happily,adv
happiness,n
happy,a
harbour,n
hard,a
hard,adv
hardly,adv
hardship,n
hardware,n
harm,n
harm,v
harmful,a
harmony,n
harsh,a
harvest,n
hastily,adv
hat,n
hate,v
hatred,n
haul,v
haunt,v
have,v
hay,n
hazard,n
he,pron
head,a
head,n
head,v
heading,n
headline,n
headmaster,n
headquarters,n
heal,v
health,n
healthy,a
heap,n
hear,v
hearing,n
heart,n
heat,n
heat,v
heating,n
heaven,n
heavily,adv
heavy,a
hectare,n
hedge,n
heel,n
height,n
heir,n
helicopter,n
hell,n
hello,interjection
helmet,n
help,n
help,v
helpful,a
helpless,a
hemisphere,n
hen,n
hence,adv
her,det
her,pron
herb,n
herd,n
here,adv
heritage,n
hero,n
heroin,n
hers,pron
herself,pron
hesitate,v
hey,interjection
hidden,a
hide,v
hierarchy,n
high,a
high,adv
highlight,n
highlight,v
highly,adv
highway,n
hill,n
him,pron
himself,pron
hint,n
hint,v
hip,n
hire,n
hire,v
his,det
his,pron
historian,n
historic,a
historical,a
historically,adv
history,n
hit,n
hit,v
hitherto,adv
hobby,n
hold,n
hold,v
holder,n
holding,n
hole,n
holiday,n
holly,n
holy,a
home,adv
home,n
homeless,a
homework,n
homosexual,a
honest,a
honestly,adv
honey,n
honour,n
honour,v
honourable,a
hook,n
hook,v
hope,n
hope,v
hopefully,adv
horizon,n
horizontal,a
horn,n
horrible,a
horror,n
horse,n
hospital,n
hospitality,n
host,n
host,v
hostage,n
hostile,a
hostility,n
hot,a
hotel,n
hour,n
house,n
house,v
household,n
housewife,n
housing,n
hover,v
how,adv
however,adv
hug,v
huge,a
human,a
human,n
humanity,n
humble,a
humour,n
hunger,n
hungry,a
hunt,n
hunt,v
hunter,n
hunting,n
hurry,n
hurry,v
hurt,v
husband,n
hut,n
hydrogen,n
hypothesis,n
i,pron
ice,n
idea,n
ideal,a
ideal,n
ideally,adv
identical,a
identification,n
identify,v
identity,n
ideological,a
ideology,n
if,conj
ignorance,n
ignore,v
ill,a
ill,adv
illegal,a
illness,n
illuminate,v
illusion,n
illustrate,v
illustration,n
image,n
imagination,n
imaginative,a
imagine,v
immediate,a
immediately,adv
immediately,conj
immense,a
immigrant,n
immigration,n
imminent,a
immune,a
impact,n
imperial,a
implement,v
implementation,n
implication,n
implicit,a
imply,v
import,n
import,v
importance,n
important,a
importantly,adv
impose,v
impossible,a
impress,v
impression,n
impressive,a
imprison,v
imprisonment,n
improve,v
improved,a
improvement,n
impulse,n
in,adv
in,prep
inability,n
inadequate,a
inappropriate,a
incapable,a
incentive,n
inch,n
incidence,n
incident,n
incidentally,adv
inclined,a
include,v
including,prep
inclusion,n
income,n
incorporate,v
increase,n
increase,v
increased,a
increasing,a
increasingly,adv
incredible,a
incredibly,adv
incur,v
indeed,adv
independence,n
independent,a
independently,adv
index,n
indicate,v
indication,n
indicator,n
indigenous,a
indirect,a
indirectly,adv
individual,a
individual,n
individually,adv
indoor,a
induce,v
indulge,v
industrial,a
industry,n
inequality,n
inevitable,a
inevitably,adv
infant,n
infect,v
infection,n
infinite,a
inflation,n
inflict,v
influence,n
influence,v
influential,a
inform,v
informal,a
information,n
infrastructure,n
ingredient,n
inhabitant,n
inherent,a
inherit,v
inheritance,n
inhibit,v
inhibition,n
initial,a
initial,n
initially,adv
initiate,v
initiative,n
inject,v
injection,n
injunction,n
injure,v
injured,a
injury,n
inland,a
inn,n
inner,a
innocence,n
innocent,a
innovation,n
innovative,a
input,n
inquest,n
inquiry,n
insect,n
insert,v
inside,adv
inside,n
inside,prep
insider,n
insight,n
insist,v
insistence,n
inspect,v
inspection,n
inspector,n
inspiration,n
inspire,v
instal,v
install,v
installation,n
instance,n
instant,a
instant,n
instantly,adv
instead,adv
instinct,n
institute,n
institution,n
institutional,a
instruct,v
instruction,n
instructor,n
instrument,n
instrumental,a
insufficient,a
insurance,n
insure,v
intact,a
intake,n
integral,a
integrate,v
integrated,a
integration,n
integrity,n
intellectual,a
intellectual,n
intelligence,n
intelligent,a
intend,v
intense,a
intensify,v
intensity,n
intensive,a
intent,a
intent,n
intention,n
interaction,n
interactive,a
intercourse,n
interest,n
interest,v
interested,a
interesting,a
interface,n
interfere,v
interference,n
interim,a
interior,a
interior,n
intermediate,a
internal,a
international,a
interpret,v
interpretation,n
interrupt,v
interval,n
intervene,v
intervention,n
interview,n
interview,v
intimate,a
into,prep
introduce,v
introduction,n
invade,v
invaluable,a
invariably,adv
invasion,n
invent,v
invention,n
invest,v
investigate,v
investigation,n
investigator,n
investment,n
investor,n
invisible,a
invitation,n
invite,v
invoke,v
involve,v
involved,a
involvement,n
ion,n
iron,n
ironically,adv
irony,n
irrelevant,a
irrespective,a
island,n
isolated,a
isolation,n
issue,n
issue,v
it,pron
item,n
its,det
itself,pron
ivory,n
jacket,n
jail,n
jail,v
jam,n
jar,n
jaw,n
jazz,n
jealous,a
jeans,n
jerk,v
jet,n
jew,n
jewel,n
jewellery,n
job,n
jockey,n
join,v
joint,a
joint,n
jointly,adv
joke,n
joke,v
journal,n
journalist,n
journey,n
joy,n
judge,n
judge,v
judgement,n
judgment,n
judicial,a
juice,n
jump,n
jump,v
junction,n
jungle,n
junior,a
jurisdiction,n
jury,n
just,a
just,adv
justice,n
justification,n
justified,a
justify,v
keen,a
keep,v
keeper,n
kettle,n
key,a
key,n
keyboard,n
kick,n
kick,v
kid,n
kidney,n
kill,v
killer,n
killing,n
kilometre,n
kind,a
kind,n
kindly,adv
king,n
kingdom,n
kiss,n
kiss,v
kit,n
kitchen,n
kite,n
knee,n
kneel,v
knife,n
knight,n
knit,v
knitting,n
knock,n
knock,v
knot,n
know,v
knowledge,n
known,a
lab,n
label,n
label,v
laboratory,n
labour,a
labour,n
labourer,n
lace,n
lack,n
lack,v
lacking,a
lad,n
ladder,n
lady,n
lake,n
lamb,n
lamp,n
land,n
land,v
landing,n
landlord,n
landowner,n
landscape,n
lane,n
language,n
lap,n
large,a
large-scale,a
largely,adv
laser,n
last,a
last,v
late,a
late,adv
lately,adv
later,adv
latin,a
latter,det
laugh,n
laugh,v
laughter,n
launch,n
launch,v
law,n
lawn,n
lawyer,n
lay,a
lay,v
layer,n
layout,n
lazy,a
lead,n
lead,v
leader,n
leadership,n
leading,a
leaf,n
leaflet,n
league,n
leak,v
lean,v
leap,v
learn,v
learner,n
learning,n
lease,n
least,adv
leather,n
leave,n
leave,v
lecture,n
lecturer,n
left,a
left,n
leg,n
legacy,n
legal,a
legally,adv
legend,n
legislation,n
legislative,a
legislature,n
legitimate,a
leisure,n
lemon,n
lend,v
lender,n
length,n
lengthy,a
less,adv
less,det
lesser,a
lesson,n
let,v
letter,n
level,a
level,n
level,v
lexical,a
liability,n
liable,a
liaison,n
liberal,a
liberal,n
liberation,n
liberty,n
librarian,n
library,n
licence,n
license,v
lick,v
lid,n
lie,n
lie,v
life,n
lifespan,n
lifestyle,n
lifetime,n
lift,n
lift,v
light,a
light,n
light,v
lighting,n
lightly,adv
like,a
like,adv
like,conj
like,n
like,prep
like,v
likelihood,n
likely,a
likewise,adv
limb,n
limestone,n
limit,n
limit,v
limitation,n
limited,a
line,n
line,v
linear,a
linen,n
linger,v
linguistic,a
link,n
link,v
lion,n
lip,n
liquid,a
liquid,n
list,n
list,v
listen,v
listener,n
literacy,n
literally,adv
literary,a
literature,n
litigation,n
litre,n
little,a
little,adv
little,det
live,a
live,v
lively,a
liver,n
living,a
living,n
load,n
load,v
loan,n
lobby,n
local,a
local,n
locality,n
locally,adv
locate,v
location,n
lock,n
lock,v
locomotive,n
lodge,v
log,n
logic,n
logical,a
lone,a
lonely,a
long,a
long,adv
long,v
long-term,a
look,n
look,v
loop,n
loose,a
lord,n
lordship,n
lorry,n
lose,v
loss,n
lost,a
lot,n
loud,a
loud,adv
loudly,adv
lounge,n
love,n
love,v
lovely,a
lover,n
low,a
low,adv
lower,v
loyal,a
loyalty,n
luck,n
lucky,a
lump,n
lunch,n
lunchtime,n
lung,n
luxury,a
luxury,n
machine,n
machinery,n
mad,a
magazine,n
magic,a
magic,n
magical,a
magistrate,n
magnetic,a
magnificent,a
magnitude,n
maid,n
mail,n
main,a
mainframe,n
mainland,n
mainly,adv
mains,n
mainstream,n
maintain,v
maintenance,n
majesty,n
major,a
majority,n
make,n
make,v
make-up,n
maker,n
making,n
male,a
male,n
mammal,n
man,n
manage,v
management,n
manager,n
managerial,a
managing,a
mandatory,a
manifest,v
manifestation,n
manipulate,v
manipulation,n
mankind,n
manner,n
manor,n
manpower,n
manual,a
manual,n
manufacture,n
manufacture,v
manufacturer,n
manufacturing,a
manufacturing,n
manuscript,n
many,det
map,n
map,v
marathon,n
marble,n
march,n
march,v
margin,n
marginal,a
marine,a
mark,n
mark,v
marked,a
marker,n
market,n
market,v
marketing,n
marriage,n
married,a
marry,v
marsh,n
marvellous,a
mask,n
mass,a
mass,n
massive,a
master,n
master,v
match,n
match,v
mate,n
material,a
material,n
mathematical,a
mathematics,n
matrix,n
matter,n
matter,v
mature,a
maturity,n
maximum,a
maximum,n
may,modal
may,v
maybe,adv
mayor,n
me,pron
meadow,n
meal,n
mean,a
mean,v
meaning,n
meaningful,a
means,n
meantime,n
meanwhile,adv
measure,n
measure,v
measurement,n
meat,n
mechanical,a
mechanism,n
medal,n
media,n
medical,a
medicine,n
medieval,a
medium,a
medium,n
meet,v
meeting,n
melt,v
member,n
membership,n
membrane,n
memorable,a
memorandum,n
memorial,n
memory,n
mental,a
mentally,adv
mention,n
mention,v
menu,n
merchant,n
mercy,n
mere,a
merely,adv
merge,v
merger,n
merit,n
mess,n
message,n
metal,n
metaphor,n
method,n
methodology,n
metre,n
metropolitan,a
microphone,n
mid,a
middle,a
middle,n
middle-class,a
midfield,n
midnight,n
might,modal
mighty,a
migration,n
mild,a
mile,n
military,a
milk,n
mill,n
mind,n
mind,v
mine,n
mine,pron
miner,n
mineral,n
minimal,a
minimise,v
minimum,a
minimum,n
mining,n
minister,n
ministerial,a
ministry,n
minor,a
minority,n
minus,prep
minute,a
minute,n
miracle,n
mirror,n
miserable,a
misery,n
misleading,a
miss,v
missile,n
missing,a
mission,n
mist,n
mistake,n
mistake,v
mistress,n
mix,n
mix,v
mixed,a
mixture,n
moan,v
mobile,a
mobility,n
mode,n
model,n
model,v
moderate,a
modern,a
modest,a
modification,n
modify,v
module,n
mole,n
molecular,a
molecule,n
moment,n
momentum,n
monarch,n
monarchy,n
monastery,n
monetary,a
money,n
monitor,n
monitor,v
monitoring,n
monk,n
monkey,n
monopoly,n
monster,n
month,n
monthly,a
monument,n
mood,n
moon,n
moor,n
moral,a
moral,n
morale,n
morality,n
more,adv
more,det
moreover,adv
morning,n
mortality,n
mortgage,n
mosaic,n
most,adv
most,det
mostly,adv
mother,n
motif,n
motion,n
motivate,v
motivation,n
motive,n
motor,n
motorist,n
motorway,n
mould,n
mount,v
mountain,n
mouse,n
mouth,n
move,n
move,v
movement,n
movie,n
moving,a
much,adv
much,det
mud,n
mug,n
multimedia,n
multiple,a
multiply,v
municipal,a
murder,n
murder,v
murderer,n
murmur,v
muscle,n
museum,n
mushroom,n
music,n
musical,a
musician,n
must,modal
mutation,n
mutter,v
mutual,a
my,det
myself,pron
mysterious,a
mystery,n
myth,n
nail,n
naked,a
name,n
name,v
namely,adv
narrative,n
narrow,a
narrow,v
nasty,a
nation,n
national,a
nationalism,n
nationalist,n
nationality,n
nationally,adv
native,a
native,n
natural,a
naturally,adv
nature,n
naval,a
navy,n
near,a
near,adv
near,prep
nearby,a
nearby,adv
nearly,adv
neat,a
neatly,adv
necessarily,adv
necessary,a
necessity,n
neck,n
need,modal
need,n
need,v
needle,n
negative,a
neglect,n
neglect,v
negligence,n
negotiate,v
negotiation,n
neighbour,n
neighbourhood,n
neighbouring,a
neither,adv
neither,det
nephew,n
nerve,n
nervous,a
nest,n
net,a
net,n
network,n
neutral,a
never,adv
nevertheless,adv
new,a
newcomer,n
newly,adv
news,n
newspaper,n
next,adv
next,det
nice,a
nicely,adv
night,n
nightmare,n
nitrogen,n
no,adv
no,det
no,interjection
no-one,pron
noble,a
nobody,pron
nod,v
node,n
noise,n
noisy,a
nominal,a
nominate,v
nomination,n
none,pron
nonetheless,adv
nonsense,n
nor,conj
norm,n
normal,a
normally,adv
north,n
northern,a
nose,n
not,adv
notable,a
notably,adv
note,n
note,v
notebook,n
nothing,pron
notice,n
notice,v
noticeable,a
notify,v
notion,n
notorious,a
noun,n
novel,a
novel,n
novelist,n
now,adv
nowadays,adv
nowhere,adv
nuclear,a
nucleus,n
nuisance,n
number,n
numerous,a
nun,n
nurse,n
nurse,v
nursery,n
nursing,a
nursing,n
nut,n
oak,n
obey,v
object,n
object,v
objection,n
objective,a
objective,n
obligation,n
oblige,v
obscure,a
obscure,v
observation,n
observe,v
observer,n
obstacle,n
obtain,v
obvious,a
obviously,adv
occasion,n
occasional,a
occasionally,adv
occupation,n
occupational,a
occupy,v
occur,v
occurrence,n
ocean,n
odd,a
odd,n
odour,n
of,prep
off,adv
off,prep
offence,n
offend,v
offender,n
offensive,a
offer,n
offer,v
offering,n
office,n
officer,n
official,a
official,n
officially,adv
offset,v
offspring,n
often,adv
oil,n
ok,interjection
okay,a
okay,adv
old,a
old-fashioned,a
omission,n
omit,v
on,adv
on,prep
once,adv
once,conj
one,pron
onion,n
only,a
only,adv
onto,prep
onwards,adv
open,a
open,adv
open,v
opening,n
openly,adv
opera,n
operate,v
operating,n
operation,n
operational,a
operator,n
opinion,n
opponent,n
opportunity,n
oppose,v
opposed,a
opposite,a
opposite,adv
opposite,n
opposition,n
opt,v
optical,a
optimism,n
optimistic,a
option,n
optional,a
or,conj
oral,a
orange,a
orange,n
orbit,n
orchestra,n
order,n
order,v
ordinary,a
organ,n
organic,a
organisation,n
organisational,a
organise,v
organiser,n
organism,n
organization,n
organizational,a
organize,v
orientation,n
origin,n
original,a
original,n
originally,adv
originate,v
orthodox,a
other,a
other,n
other,pron
otherwise,adv
ought,modal
our,det
ours,pron
ourselves,pron
out,adv
out,prep
outbreak,n
outcome,n
outdoor,a
outer,a
outfit,n
outlet,n
outline,n
outline,v
outlook,n
output,n
outset,n
outside,a
outside,adv
outside,n
outside,prep
outsider,n
outstanding,a
oven,n
over,adv
over,n
over,prep
overall,a
overall,adv
overall,n
overcome,v
overlook,v
overnight,adv
overseas,a
overseas,adv
overtake,v
overview,n
overwhelm,v
overwhelming,a
owe,v
owl,n
own,det
own,v
owner,n
ownership,n
oxygen,n
ozone,n
pace,n
pack,n
pack,v
package,n
package,v
packet,n
pad,n
page,n
paid,a
pain,n
painful,a
paint,n
paint,v
painter,n
painting,n
pair,n
pal,n
palace,n
pale,a
palm,n
pan,n
panel,n
panic,n
papal,a
paper,n
par,n
parade,n
paragraph,n
parallel,a
parallel,n
parameter,n
parcel,n
pardon,n
parent,n
parental,a
parish,n
park,n
park,v
parking,n
parliament,n
parliamentary,a
part,n
part,v
part-time,a
partial,a
partially,adv
participant,n
participate,v
participation,n
particle,n
particular,a
particular,n
particularly,adv
partly,adv
partner,n
partnership,n
party,n
pass,n
pass,v
passage,n
passenger,n
passion,n
passionate,a
passive,a
passport,n
past,a
past,adv
past,n
past,prep
pasture,n
pat,v
patch,n
patent,n
path,n
patience,n
patient,a
patient,n
patrol,n
patron,n
pattern,n
pause,n
pause,v
pavement,n
pay,n
pay,v
payable,a
payment,n
peace,n
peaceful,a
peak,n
peasant,n
peculiar,a
pedestrian,n
peer,n
peer,v
pen,n
penalty,n
pencil,n
penetrate,v
penny,n
pension,n
pensioner,n
people,n
pepper,n
per,prep
perceive,v
perceived,a
percent,n
percentage,n
perception,n
perfect,a
perfectly,adv
perform,v
performance,n
performer,n
perhaps,adv
period,n
permanent,a
permanently,adv
permission,n
permit,v
persist,v
persistent,a
person,n
personal,a
personality,n
personally,adv
personnel,n
perspective,n
persuade,v
pest,n
pet,n
petition,n
petrol,n
petty,a
phase,n
phenomenon,n
philosopher,n
philosophical,a
philosophy,n
phone,n
phone,v
photo,n
photograph,n
photograph,v
photographer,n
photographic,a
photography,n
phrase,n
physical,a
physically,adv
physician,n
physics,n
piano,n
pick,v
picture,n
picture,v
pie,n
piece,n
pier,n
pig,n
pigeon,n
pile,n
pile,v
pill,n
pillar,n
pillow,n
pilot,n
pin,n
pin,v
pine,n
pink,a
pint,n
pioneer,n
pipe,n
pit,n
pitch,n
pity,n
place,n
place,v
placement,n
plain,a
plain,n
plaintiff,n
plan,n
plan,v
plane,n
planet,n
planned,a
planner,n
planning,n
plant,n
plant,v
plasma,n
plaster,n
plastic,n
plate,n
platform,n
plausible,a
play,n
play,v
player,n
plea,n
plead,v
pleasant,a
please,adv
please,v
pleased,a
pleasure,n
pledge,v
plenty,pron
plot,n
plot,v
plug,v
plunge,v
plus,prep
pocket,n
poem,n
poet,n
poetry,n
point,n
point,v
poison,n
poison,v
pole,n
police,n
policeman,n
policy,n
polish,a
polish,v
polite,a
political,a
politically,adv
politician,n
politics,n
poll,n
pollution,n
polymer,n
polytechnic,n
pond,n
pony,n
pool,n
poor,a
poorly,adv
pop,n
pop,v
pope,n
popular,a
popularity,n
population,n
port,n
portable,a
porter,n
portfolio,n
portion,n
portrait,n
portray,v
pose,v
position,n
position,v
positive,a
positively,adv
possess,v
possession,n
possibility,n
possible,a
possibly,adv
post,n
post,v
post-war,a
postcard,n
poster,n
postpone,v
pot,n
potato,n
potential,a
potential,n
potentially,adv
pottery,n
pound,n
pour,v
poverty,n
powder,n
power,n
power,v
powerful,a
practical,a
practically,adv
practice,n
practise,v
practitioner,n
praise,n
praise,v
pray,v
prayer,n
preach,v
precaution,n
precede,v
precedent,n
precious,a
precise,a
precisely,adv
precision,n
predator,n
predecessor,n
predict,v
predictable,a
prediction,n
predominantly,adv
prefer,v
preference,n
preferred,a
pregnancy,n
pregnant,a
prejudice,n
preliminary,a
premature,a
premier,a
premise,n
premium,n
preoccupation,n
preparation,n
prepare,v
prescribe,v
prescription,n
presence,n
present,a
present,n
present,v
presentation,n
presently,adv
preservation,n
preserve,v
presidency,n
president,n
presidential,a
press,n
press,v
pressure,n
prestige,n
presumably,adv
presume,v
pretend,v
pretty,a
pretty,adv
prevail,v
prevalence,n
prevent,v
prevention,n
previous,a
previously,adv
prey,n
price,n
price,v
pride,n
priest,n
primarily,adv
primary,a
primary,n
prime,a
primitive,a
prince,n
princess,n
principal,a
principal,n
principally,adv
principle,n
print,n
print,v
printed,a
printer,n
printing,n
prior,a
priority,n
prison,n
prisoner,n
privacy,n
private,a
privately,adv
privatisation,n
privatization,n
privilege,n
privileged,a
prize,n
probability,n
probable,a
probably,adv
probe,n
probe,v
problem,n
procedure,n
proceed,n
proceed,v
proceeding,n
process,n
process,v
processing,n
procession,n
processor,n
proclaim,v
produce,n
produce,v
producer,n
product,n
production,n
productive,a
productivity,n
profession,n
professional,a
professional,n
professor,n
profile,n
profit,n
profit,v
profitability,n
profitable,a
profound,a
program,n
program,v
programme,n
programming,n
progress,n
progress,v
progressive,a
prohibit,v
project,n
project,v
projection,n
prolonged,a
prominent,a
promise,n
promise,v
promote,v
promoter,n
promotion,n
prompt,v
promptly,adv
prone,a
pronounce,v
proof,n
prop,v
propaganda,n
proper,a
properly,adv
property,n
proportion,n
proportional,a
propos,v
proposal,n
propose,v
proposed,a
proposition,n
proprietor,n
prosecute,v
prosecution,n
prospect,n
prospective,a
prosperity,n
protect,v
protection,n
protective,a
protein,n
protest,n
protest,v
protocol,n
proud,a
prove,v
provide,v
provided,conj
provider,n
providing,conj
province,n
provincial,a
provision,n
provisional,a
provoke,v
psychiatric,a
psychological,a
psychologist,n
psychology,n
pub,n
public,a
public,n
publication,n
publicity,n
publicly,adv
publish,v
publisher,n
publishing,n
pudding,n
pull,v
pulse,n
pump,n
pump,v
punch,n
punch,v
punish,v
punishment,n
pupil,n
purchase,n
purchase,v
purchaser,n
pure,a
purely,adv
purple,a
purpose,n
pursue,v
pursuit,n
push,n
push,v
put,v
puzzle,v
qualification,n
qualified,a
qualify,v
quality,n
quantitative,a
quantity,n
quantum,n
quarry,n
quarter,n
queen,n
query,n
quest,n
question,n
question,v
questionnaire,n
queue,n
quick,a
quick,adv
quickly,adv
quid,n
quiet,a
quietly,adv
quit,v
quite,adv
quota,n
quotation,n
quote,v
rabbit,n
race,n
race,v
racial,a
racism,n
rack,n
radiation,n
radical,a
radical,n
radio,n
rage,n
raid,n
rail,n
railway,n
rain,n
rain,v
raise,v
raised,a
rally,n
rally,v
ram,n
random,a
range,n
range,v
rank,n
rank,v
rape,n
rape,v
rapid,a
rapidly,adv
rare,a
rarely,adv
rat,n
rate,n
rate,v
rather,adv
rating,n
ratio,n
rational,a
raw,a
ray,n
reach,n
reach,v
react,v
reaction,n
reactor,n
read,v
reader,n
readily,adv
reading,n
ready,a
real,a
realise,v
realism,n
realistic,a
reality,n
realize,v
really,adv
realm,n
rear,a
rear,n
rear,v
reason,n
reasonable,a
reasonably,adv
reasoning,n
reassure,v
rebel,n
rebellion,n
rebuild,v
recall,v
receipt,n
receive,v
receiver,n
recent,a
recently,adv
reception,n
receptor,n
recession,n
recipe,n
recipient,n
reckon,v
recognise,v
recognition,n
recognize,v
recommend,v
recommendation,n
reconcile,v
reconstruction,n
record,n
record,v
recorder,n
recording,n
recover,v
recovery,n
recreation,n
recruit,n
recruit,v
recruitment,n
recycle,v
red,a
red,n
reduce,v
reduced,a
reduction,n
redundancy,n
redundant,a
refer,v
referee,n
reference,n
referendum,n
referral,n
reflect,v
reflection,n
reform,n
reform,v
reformer,n
refuge,n
refugee,n
refusal,n
refuse,v
regain,v
regard,n
regard,v
regarding,prep
regardless,adv
regime,n
regiment,n
region,n
regional,a
register,n
register,v
registration,n
regret,n
regret,v
regular,a
regularly,adv
regulate,v
regulation,n
regulatory,a
rehabilitation,n
rehearsal,n
reign,n
reinforce,v
reject,v
rejection,n
relate,n
relate,v
related,a
relation,n
relationship,n
relative,a
relative,n
relatively,adv
relax,v
relaxation,n
release,n
release,v
relevance,n
relevant,a
reliable,a
reliance,n
relief,n
relieve,v
religion,n
religious,a
reluctance,n
reluctant,a
reluctantly,adv
rely,v
remain,n
remain,v
remainder,n
remaining,a
remark,n
remark,v
remarkable,a
remarkably,adv
remedy,n
remember,v
remind,v
reminder,n
remote,a
removal,n
remove,v
renaissance,n
render,v
renew,v
renewal,n
renewed,a
rent,n
repair,n
repair,v
repay,v
repayment,n
repeat,v
repeated,a
repeatedly,adv
repetition,n
replace,v
replacement,n
reply,n
reply,v
report,n
report,v
reportedly,adv
reporter,n
represent,v
representation,n
representative,a
representative,n
reproduce,v
reproduction,n
republic,n
republican,n
reputation,n
request,n
request,v
require,v
required,a
requirement,n
rescue,n
rescue,v
research,n
research,v
researcher,n
resemble,v
resent,v
resentment,n
reservation,n
reserve,n
reserve,v
reservoir,n
residence,n
resident,a
resident,n
residential,a
residue,n
resign,v
resignation,n
resist,v
resistance,n
resolution,n
resolve,v
resort,n
resource,n
respect,n
respect,v
respectable,a
respective,a
respectively,adv
respond,v
respondent,n
response,n
responsibility,n
responsible,a
rest,n
rest,v
restaurant,n
restoration,n
restore,v
restrain,v
restraint,n
restrict,v
restricted,a
restriction,n
restrictive,a
result,n
result,v
resulting,a
resume,v
retail,a
retailer,n
retain,v
retention,n
retire,v
retired,a
retirement,n
retreat,n
retreat,v
retrieve,v
return,n
return,v
reveal,v
revelation,n
revenge,n
revenue,n
reverse,n
reverse,v
revert,v
review,n
review,v
revise,v
revised,a
revision,n
revival,n
revive,v
revolution,n
revolutionary,a
reward,n
reward,v
rhetoric,n
rhythm,n
rib,n
ribbon,n
rice,n
rich,a
rid,v
ride,n
ride,v
rider,n
ridge,n
ridiculous,a
rifle,n
right,a
right,adv
right,interjection
right,n
rightly,adv
rigid,a
ring,n
ring,v
riot,n
rip,v
rise,n
rise,v
rising,a
risk,n
risk,v
ritual,n
rival,a
rival,n
river,n
road,n
roar,v
rob,v
robbery,n
rock,n
rock,v
rocket,n
rod,n
role,n
roll,n
roll,v
romance,n
romantic,a
roof,n
room,n
root,n
root,v
rope,n
rose,n
rotation,n
rotten,a
rough,a
roughly,adv
round,a
round,adv
round,n
round,prep
round,v
route,n
routine,n
row,n
row,v
royal,a
royalty,n
rub,v
rubber,a
rubbish,n
rude,a
rug,n
rugby,n
ruin,n
ruin,v
rule,n
rule,v
ruler,n
ruling,a
ruling,n
rumour,n
run,n
run,v
runner,n
running,a
rural,a
rush,n
rush,v
sack,n
sack,v
sacred,a
sacrifice,n
sacrifice,v
sad,a
sadly,adv
safe,a
safely,adv
safety,n
sail,n
sail,v
sailor,n
saint,n
sake,n
salad,n
salary,n
sale,n
salmon,n
salon,n
salt,n
salvation,n
same,det
sample,n
sample,v
sanction,n
sanctuary,n
sand,n
sandwich,n
satellite,n
satisfaction,n
satisfactory,a
satisfied,a
satisfy,v
sauce,n
sausage,n
save,v
saving,n
say,v
saying,n
scale,n
scan,v
scandal,n
scar,v
scarcely,adv
scared,a
scatter,v
scenario,n
scene,n
scent,n
schedule,n
schedule,v
scheme,n
scholar,n
scholarship,n
school,n
science,n
scientific,a
scientist,n
scope,n
score,n
score,v
scramble,v
scrap,n
scrape,v
scratch,v
scream,n
scream,v
screen,n
screen,v
screening,n
screw,n
screw,v
script,n
scrutiny,n
sculpture,n
sea,n
seal,n
seal,v
search,n
search,v
season,n
seasonal,a
seat,n
seat,v
second,n
secondary,a
secondly,adv
secret,a
secret,n
secretary,n
secretion,n
section,n
sector,n
secular,a
secure,a
secure,v
security,n
sediment,n
see,v
seed,n
seek,v
seem,v
seemingly,adv
segment,n
seize,v
seldom,adv
select,a
select,v
selected,a
selection,n
selective,a
self,n
sell,v
seller,n
semantic,a
semi-final,n
seminar,n
senate,n
send,v
senior,a
senior,n
sensation,n
sense,n
sense,v
sensible,a
sensitive,a
sensitivity,n
sentence,n
sentence,v
sentiment,n
separate,a
separate,v
separately,adv
separation,n
sequence,n
sergeant,n
series,n
serious,a
seriously,adv
serum,n
servant,n
serve,v
server,n
service,n
service,v
session,n
set,n
set,v
setting,n
settle,v
settlement,n
several,det
severe,a
severely,adv
sex,n
sexual,a
sexuality,n
sexually,adv
shade,n
shadow,n
shaft,n
shake,v
shall,modal
shallow,a
shame,n
shape,n
shape,v
share,n
share,v
shared,a
shareholder,n
sharp,a
sharply,adv
shatter,v
she,pron
shed,n
shed,v
sheep,n
sheer,a
sheet,n
shelf,n
shell,n
shelter,n
shield,n
shift,n
shift,v
shilling,n
shine,v
ship,n
ship,v
shirt,n
shit,n
shiver,v
shock,n
shock,v
shocked,a
shoe,n
shoot,v
shop,n
shop,v
shopping,n
shore,n
short,a
short,adv
short,n
short-term,a
shortage,n
shortly,adv
shot,n
should,modal
shoulder,n
shout,n
shout,v
show,n
show,v
shower,n
shrink,v
shrub,n
shrug,v
shut,v
shy,a
sick,a
sick,n
sickness,n
side,n
sideways,adv
siege,n
sigh,n
sigh,v
sight,n
sign,n
sign,v
signal,n
signal,v
signature,n
significance,n
significant,a
significantly,adv
silence,n
silent,a
silently,adv
silk,n
silly,a
silver,a
silver,n
similar,a
similarity,n
similarly,adv
